"","age","sex","civil_status","education","professional_experience","COMP1","COMP2","COMP3","COMP4","COMP5","CONF1","CONF2","CONF3","CONF4","CONF5","INSE1","INSE2","INSE3","INSE4","INSE5","alene","leder","bransje","kjønn","complexity"
"188",57,1,3,4,"22",1,1,2,5,4,4,4,5,5,5,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",13
"189",34,1,2,3,"15",2,5,4,6,4,3,1,2,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",21
"190",31,1,2,4,"10",4,7,7,7,7,1,1,1,1,1,3,3,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",32
"191",42,1,2,3,"23",5,5,3,5,5,2,2,2,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",23
"192",39,1,2,2,"22",3,4,2,6,3,1,5,5,3,3,1,1,1,1,1,FALSE,TRUE,"Annet","kvinne",18
"193",44,1,2,3,"20",5,5,5,7,6,5,2,5,5,5,4,2,2,2,2,FALSE,FALSE,"Helse og omsorg","kvinne",28
"194",36,1,2,3,"20",7,7,4,4,7,5,5,5,5,5,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",29
"195",24,1,1,3,"2",2,2,3,2,1,1,2,4,3,4,2,2,2,2,2,TRUE,FALSE,"Annet","kvinne",10
"196",54,1,1,2,"33",1,2,1,4,4,5,5,5,4,4,1,2,2,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",12
"197",47,1,2,2,"30",2,2,1,2,2,1,1,2,2,1,2,2,2,1,1,FALSE,FALSE,"Annet","kvinne",9
"198",36,1,2,3,"20",7,1,4,4,1,1,2,2,1,4,1,1,1,1,1,FALSE,FALSE,"Annet","kvinne",17
"199",49,1,2,3,"30",2,2,2,5,5,6,5,7,6,5,1,1,7,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",16
"200",30,2,1,2,"3",2,2,2,2,2,1,2,2,2,2,2,2,2,6,5,TRUE,FALSE,"Helse og omsorg","mann",10
"201",22,1,2,3,"2",4,5,2,5,4,2,1,1,2,2,4,3,4,3,3,FALSE,FALSE,"Helse og omsorg","kvinne",20
"202",36,1,2,4,"13",1,1,1,1,1,1,3,3,3,2,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",5
"203",39,1,3,3,"15",4,7,6,6,3,4,6,6,4,4,4,2,3,4,4,FALSE,FALSE,"Helse og omsorg","kvinne",26
"204",62,1,5,2,"46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE,TRUE,"Annet","kvinne",5
"205",35,2,3,4,"",5,5,5,6,7,2,1,1,2,1,1,2,2,1,2,FALSE,FALSE,"Helse og omsorg","mann",28
"206",53,1,5,2,"30",2,2,2,4,5,2,6,6,4,2,2,1,1,1,1,TRUE,FALSE,"Annet","kvinne",15
"207",55,1,3,4,"28",3,2,3,5,5,3,5,5,3,5,2,1,1,1,1,FALSE,FALSE,"Annet","kvinne",18
"208",23,1,1,3,"2",2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,TRUE,FALSE,"Helse og omsorg","kvinne",14
"209",38,1,2,4,"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",5
"210",29,1,1,3,"10",1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,TRUE,FALSE,"Annet","kvinne",7
"211",58,1,5,2,"42",3,4,4,6,5,2,1,1,2,2,2,1,2,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",22
"212",35,1,1,4,"10",3,2,2,2,2,5,3,4,2,2,2,1,1,1,1,TRUE,FALSE,"Helse og omsorg","kvinne",11
"213",58,1,5,2,"35",3,2,3,4,3,3,1,1,1,1,2,2,2,2,2,TRUE,FALSE,"Annet","kvinne",15
"214",31,1,2,2,"12",4,5,4,2,2,2,2,2,3,3,4,2,3,2,2,FALSE,FALSE,"Helse og omsorg","kvinne",17
"215",41,1,3,4,"15",2,2,3,4,4,5,5,5,6,6,6,3,3,2,2,FALSE,TRUE,"Helse og omsorg","kvinne",15
"216",52,1,3,3,"27",1,4,4,7,5,1,1,1,1,3,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",21
"217",58,1,2,2,"30",2,1,1,2,1,1,4,4,5,5,1,1,1,1,1,FALSE,FALSE,"Helse og omsorg","kvinne",7
